project,seed1,seed2,T-test,U-test
assertj-assertions-generator,0,42,0.000,0.002
assertj-assertions-generator,0,123,0.849,0.589
assertj-assertions-generator,0,216,0.000,0.002
assertj-assertions-generator,0,1202,0.001,0.002
assertj-assertions-generator,0,1999,0.635,1.000
assertj-assertions-generator,0,2002,0.000,0.002
assertj-assertions-generator,0,2024,0.538,0.394
assertj-assertions-generator,0,31415,0.291,0.132
assertj-assertions-generator,0,99999,0.000,0.002
assertj-assertions-generator,0,default,0.000,0.002
assertj-assertions-generator,0,fastest,0.000,0.002
assertj-assertions-generator,42,123,0.000,0.002
assertj-assertions-generator,42,216,0.000,0.004
assertj-assertions-generator,42,1202,0.001,0.002
assertj-assertions-generator,42,1999,0.000,0.002
assertj-assertions-generator,42,2002,0.000,0.002
assertj-assertions-generator,42,2024,0.000,0.002
assertj-assertions-generator,42,31415,0.000,0.002
assertj-assertions-generator,42,99999,0.279,0.015
assertj-assertions-generator,42,default,0.000,0.002
assertj-assertions-generator,42,fastest,0.000,0.002
assertj-assertions-generator,123,216,0.000,0.002
assertj-assertions-generator,123,1202,0.002,0.002
assertj-assertions-generator,123,1999,0.607,0.699
assertj-assertions-generator,123,2002,0.000,0.002
assertj-assertions-generator,123,2024,0.545,0.240
assertj-assertions-generator,123,31415,0.377,0.310
assertj-assertions-generator,123,99999,0.000,0.002
assertj-assertions-generator,123,default,0.006,0.004
assertj-assertions-generator,123,fastest,0.000,0.002
assertj-assertions-generator,216,1202,0.001,0.002
assertj-assertions-generator,216,1999,0.000,0.002
assertj-assertions-generator,216,2002,0.038,0.026
assertj-assertions-generator,216,2024,0.000,0.002
assertj-assertions-generator,216,31415,0.000,0.002
assertj-assertions-generator,216,99999,0.214,0.002
assertj-assertions-generator,216,default,0.000,0.002
assertj-assertions-generator,216,fastest,0.000,0.002
assertj-assertions-generator,1202,1999,0.020,0.015
assertj-assertions-generator,1202,2002,0.001,0.002
assertj-assertions-generator,1202,2024,0.006,0.002
assertj-assertions-generator,1202,31415,0.005,0.002
assertj-assertions-generator,1202,99999,0.034,0.015
assertj-assertions-generator,1202,default,0.055,0.065
assertj-assertions-generator,1202,fastest,0.000,0.002
assertj-assertions-generator,1999,2002,0.000,0.002
assertj-assertions-generator,1999,2024,0.947,0.937
assertj-assertions-generator,1999,31415,0.947,1.000
assertj-assertions-generator,1999,99999,0.000,0.004
assertj-assertions-generator,1999,default,0.156,0.240
assertj-assertions-generator,1999,fastest,0.000,0.002
assertj-assertions-generator,2002,2024,0.000,0.002
assertj-assertions-generator,2002,31415,0.000,0.002
assertj-assertions-generator,2002,99999,0.196,0.002
assertj-assertions-generator,2002,default,0.000,0.002
assertj-assertions-generator,2002,fastest,0.000,0.002
assertj-assertions-generator,2024,31415,0.848,1.000
assertj-assertions-generator,2024,99999,0.000,0.002
assertj-assertions-generator,2024,default,0.039,0.132
assertj-assertions-generator,2024,fastest,0.000,0.002
assertj-assertions-generator,31415,99999,0.000,0.002
assertj-assertions-generator,31415,default,0.028,0.026
assertj-assertions-generator,31415,fastest,0.000,0.002
assertj-assertions-generator,99999,default,0.000,0.004
assertj-assertions-generator,99999,fastest,0.000,0.002
assertj-assertions-generator,default,fastest,0.000,0.002
commons-cli,0,42,0.000,0.002
commons-cli,0,123,0.000,0.002
commons-cli,0,216,0.000,0.002
commons-cli,0,1202,0.000,0.002
commons-cli,0,1999,0.000,0.002
commons-cli,0,2002,0.000,0.002
commons-cli,0,2024,0.000,0.002
commons-cli,0,31415,0.000,0.002
commons-cli,0,99999,0.000,0.002
commons-cli,0,default,0.000,0.002
commons-cli,0,fastest,0.000,0.002
commons-cli,42,123,0.000,0.002
commons-cli,42,216,0.000,0.002
commons-cli,42,1202,0.059,0.310
commons-cli,42,1999,0.000,0.002
commons-cli,42,2002,0.000,0.002
commons-cli,42,2024,0.000,0.002
commons-cli,42,31415,0.000,0.002
commons-cli,42,99999,0.000,0.002
commons-cli,42,default,0.001,0.002
commons-cli,42,fastest,0.000,0.002
commons-cli,123,216,0.000,0.002
