project,suffix,total_time_ms,mutation_testing_ms,unit_count,unit_total_ms,unit_pct_of_mutation_time,process_count,process_total_ms,process_pct_of_mutation_time,step_start_minion_count,step_start_minion_total_ms,step_start_minion_pct_of_mutation_time,step_read_args_count,step_read_args_total_ms,step_read_args_pct_of_mutation_time,step_configure_verbosity_count,step_configure_verbosity_total_ms,step_configure_verbosity_pct_of_mutation_time,step_get_context_classloader_count,step_get_context_classloader_total_ms,step_get_context_classloader_pct_of_mutation_time,step_build_byte_source_count,step_build_byte_source_total_ms,step_build_byte_source_pct_of_mutation_time,step_create_hotswap_count,step_create_hotswap_total_ms,step_create_hotswap_pct_of_mutation_time,step_create_engine_count,step_create_engine_total_ms,step_create_engine_pct_of_mutation_time,step_create_reset_env_count,step_create_reset_env_total_ms,step_create_reset_env_pct_of_mutation_time,step_build_worker_count,step_build_worker_total_ms,step_build_worker_pct_of_mutation_time,step_find_tests_count,step_find_tests_total_ms,step_find_tests_pct_of_mutation_time,mutation_error_count,mutation_error_total_ms,mutation_error_pct_of_mutation_time,mutation_ok_count,mutation_ok_total_ms,mutation_ok_pct_of_mutation_time,replaced_total_ms,replaced_pct_of_mutation_time,tests_total_ms,tests_count,tests_pct_of_mutation_time,mutations_total,mutations_killed,mutations_killed_pct,total_tests,tests_per_mutation,log
empire-db,default,866000.000,863000.000,64,863548.899,100.064,170,863530.261,100.061,170,19441.554,2.253,170,2888.719,0.335,170,12.395,0.001,170,6.124,0.001,170,1073.845,0.124,170,38.901,0.005,170,3525.458,0.409,170,128.047,0.015,170,675.151,0.078,170,10371.338,1.202,111,589001.391,68.250,2303,236138.644,27.363,60812.000,7.047,345967.000,2337,40.089,2414,1270,53,10642,4.41,logs/empire-db_default.log
empire-db,single-group,896000.000,893000.000,1,893153.570,100.017,116,893126.740,100.014,116,13496.081,1.511,116,3393.095,0.380,116,10.039,0.001,116,4.608,0.001,116,838.495,0.094,116,30.448,0.003,116,2611.314,0.292,116,92.248,0.010,116,480.208,0.054,116,10044.819,1.125,115,612150.285,68.550,2299,249830.810,27.977,88951.000,9.961,306703.000,2328,34.345,2414,1270,53,10591,4.39,logs/empire-db_single-group.log
empire-db,default_master-finder,873000.000,870000.000,64,870404.452,100.046,171,870385.754,100.044,171,23844.033,2.741,171,3089.174,0.355,171,12.820,0.001,171,6.234,0.001,171,1109.509,0.128,171,38.144,0.004,171,3581.537,0.412,171,145.090,0.017,171,667.816,0.077,171,1841.853,0.212,112,587643.426,67.545,2302,248184.469,28.527,58130.000,6.682,350952.000,2336,40.339,2414,1269,53,10641,4.41,logs/empire-db_default_master-finder.log
empire-db,single-group_master-finder,902000.000,899000.000,1,899432.740,100.048,118,899410.690,100.046,118,16761.791,1.864,118,3610.516,0.402,118,10.297,0.001,118,4.743,0.001,118,871.954,0.097,118,29.868,0.003,118,2720.190,0.303,118,115.854,0.013,118,488.326,0.054,118,1530.003,0.170,117,602887.242,67.062,2298,270244.849,30.061,86554.000,9.628,350611.000,2333,39.000,2414,1269,53,10581,4.38,logs/empire-db_single-group_master-finder.log
Mybatis-PageHelper,default,936000.000,931000.000,46,931279.526,100.030,46,931272.667,100.029,46,5270.735,0.566,46,795.444,0.085,46,3.413,0.000,46,1.683,0.000,46,298.529,0.032,46,10.419,0.001,46,951.564,0.102,46,34.830,0.004,46,188.812,0.020,46,2621.869,0.282,0,0.000,0.000,770,920964.168,98.922,27072.000,2.908,888670.000,770,95.453,770,534,69,26221,34.05,logs/Mybatis-PageHelper_default.log
Mybatis-PageHelper,single-group,908000.000,903000.000,1,903507.306,100.056,1,903504.792,100.056,1,122.628,0.014,1,40.990,0.005,1,0.134,0.000,1,0.093,0.000,1,7.895,0.001,1,0.269,0.000,1,24.489,0.003,1,0.832,0.000,1,4.794,0.001,1,95.171,0.011,0,0.000,0.000,770,903179.142,100.020,40647.000,4.501,856647.000,770,94.867,770,548,71,26221,34.05,logs/Mybatis-PageHelper_single-group.log
Mybatis-PageHelper,default_master-finder,945000.000,939000.000,46,939835.712,100.089,46,939828.578,100.088,46,6530.707,0.695,46,848.964,0.090,46,3.543,0.000,46,1.732,0.000,46,290.024,0.031,46,10.700,0.001,46,967.216,0.103,46,36.961,0.004,46,182.740,0.019,46,673.344,0.072,0,0.000,0.000,770,930161.426,99.059,27020.000,2.878,897790.000,770,95.611,770,534,69,26221,34.05,logs/Mybatis-PageHelper_default_master-finder.log
Mybatis-PageHelper,single-group_master-finder,913000.000,908000.000,1,908383.907,100.042,1,908381.457,100.042,1,217.483,0.024,1,54.283,0.006,1,0.111,0.000,1,0.051,0.000,1,9.433,0.001,1,0.340,0.000,1,30.506,0.003,1,1.715,0.000,1,5.741,0.001,1,25.821,0.003,0,0.000,0.000,770,908004.959,100.001,40759.000,4.489,861025.000,770,94.827,770,548,71,26221,34.05,logs/Mybatis-PageHelper_single-group_master-finder.log
jimfs,default,523000.000,519000.000,102,519889.968,100.171,160,519879.000,100.169,160,18209.522,3.509,160,2850.092,0.549,160,12.141,0.002,160,5.933,0.001,160,1015.968,0.196,160,38.794,0.007,160,3390.734,0.653,160,122.041,0.024,160,646.198,0.125,160,10054.243,1.937,61,185628.120,35.766,1703,297610.092,57.343,28829.000,5.555,269238.000,1707,51.876,1764,1531,87,62592,35.48,logs/jimfs_default.log
jimfs,single-group,501000.000,498000.000,1,498346.755,100.070,63,498337.336,100.068,63,7398.181,1.486,63,1855.538,0.373,63,5.335,0.001,63,2.564,0.001,63,448.460,0.090,63,17.143,0.003,63,1420.536,0.285,63,49.420,0.010,63,264.501,0.053,63,5999.602,1.205,62,185604.192,37.270,1702,295170.290,59.271,41769.000,8.387,252175.000,1705,50.638,1764,1539,87,62591,35.48,logs/jimfs_single-group.log
jimfs,default_master-finder,542000.000,538000.000,102,538660.593,100.123,161,538650.087,100.121,161,22150.776,4.117,161,3094.892,0.575,161,12.273,0.002,161,5.993,0.001,161,1046.671,0.195,161,54.787,0.010,161,3380.580,0.628,161,129.820,0.024,161,635.775,0.118,161,1958.835,0.364,62,196600.292,36.543,1702,309286.364,57.488,27844.000,5.175,277443.000,1705,51.569,1764,1532,87,62452,35.4,logs/jimfs_default_master-finder.log
jimfs,single-group_master-finder,517000.000,514000.000,1,513518.369,99.906,63,513510.000,99.905,63,9332.988,1.816,63,2011.403,0.391,63,5.474,0.001,63,2.519,0.000,63,471.804,0.092,63,23.516,0.005,63,1452.228,0.283,63,58.979,0.011,63,266.707,0.052,63,1122.828,0.218,62,196658.517,38.260,1702,301987.942,58.753,39439.000,7.673,263352.000,1706,51.236,1764,1542,87,62452,35.4,logs/jimfs_single-group_master-finder.log
jfreechart,default,2384000.000,2374000.000,417,2374637.826,100.027,505,2374605.941,100.026,505,57575.128,2.425,505,9591.022,0.404,505,38.021,0.002,505,19.059,0.001,505,3282.590,0.138,505,113.684,0.005,505,10966.035,0.462,505,382.593,0.016,505,2103.986,0.089,505,362500.316,15.270,91,271273.630,11.427,20157,1655637.478,69.740,814252.000,34.299,796977.000,20172,33.571,20249,12236,60,342370,16.91,logs/jfreechart_default.log
jfreechart,single-group,2751000.000,2741000.000,1,2738597.856,99.912,93,2738525.161,99.910,93,12167.838,0.444,93,8296.832,0.303,93,9.751,0.000,93,3.974,0.000,93,692.220,0.025,93,23.667,0.001,93,2175.161,0.079,93,74.544,0.003,93,407.635,0.015,93,247019.405,9.012,92,279992.491,10.215,20156,2187205.989,79.796,1438359.000,52.476,706172.000,20172,25.763,20249,12236,60,342367,16.91,logs/jfreechart_single-group.log
jfreechart,default_master-finder,2188000.000,2176000.000,417,2176823.795,100.038,505,2176794.795,100.037,505,71263.322,3.275,505,10599.304,0.487,505,41.209,0.002,505,19.516,0.001,505,3430.383,0.158,505,118.085,0.005,505,11360.686,0.522,505,507.639,0.023,505,2054.958,0.094,505,9709.908,0.446,91,277999.732,12.776,20157,1788526.451,82.193,637096.000,29.278,1091143.000,20086,50.144,20249,12304,61,336492,16.62,logs/jfreechart_default_master-finder.log
jfreechart,single-group_master-finder,2412000.000,2400000.000,1,2397024.750,99.876,92,2396954.229,99.873,92,15133.735,0.631,92,8916.069,0.372,92,10.016,0.000,92,4.127,0.000,92,709.288,0.030,92,27.067,0.001,92,2233.190,0.093,92,99.929,0.004,92,397.537,0.017,92,6290.208,0.262,91,281346.527,11.723,20157,2081255.870,86.719,1178562.000,49.107,848901.000,20170,35.371,20249,12235,60,342357,16.91,logs/jfreechart_single-group_master-finder.log
